Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,20ma,50ma,signal,Trade
2017-11-09 00:00:00+00:00,308.6449890136719,329.4519958496094,307.0559997558594,320.8840026855469,893249984,0.0,0.0,,,-1,-1
2017-11-10 00:00:00+00:00,320.6709899902344,324.7179870605469,294.5419921875,299.25299072265625,885985984,0.0,0.0,,,-1,0
2017-11-11 00:00:00+00:00,298.58599853515625,319.4530029296875,298.1919860839844,314.6809997558594,842300992,0.0,0.0,,,-1,0
2017-11-12 00:00:00+00:00,314.69000244140625,319.15301513671875,298.51300048828125,307.9079895019531,1613479936,0.0,0.0,,,-1,0
2017-11-13 00:00:00+00:00,307.0249938964844,328.4150085449219,307.0249938964844,316.71600341796875,1041889984,0.0,0.0,,,-1,0
2017-11-14 00:00:00+00:00,316.76300048828125,340.177001953125,316.76300048828125,337.6310119628906,1069680000,0.0,0.0,,,-1,0
2017-11-15 00:00:00+00:00,337.9639892578125,340.9119873046875,329.81298828125,333.35699462890625,722665984,0.0,0.0,,,-1,0
2017-11-16 00:00:00+00:00,333.4429931640625,336.15899658203125,323.6059875488281,330.92401123046875,797254016,0.0,0.0,,,-1,0
2017-11-17 00:00:00+00:00,330.1669921875,334.9639892578125,327.52301025390625,332.3940124511719,621732992,0.0,0.0,,,-1,0
2017-11-18 00:00:00+00:00,331.9800109863281,349.6159973144531,327.68701171875,347.61199951171875,649638976,0.0,0.0,,,-1,0
2017-11-19 00:00:00+00:00,347.4010009765625,371.2909851074219,344.739990234375,354.385986328125,1181529984,0.0,0.0,,,-1,0
2017-11-20 00:00:00+00:00,354.093994140625,372.1369934082031,353.28900146484375,366.7300109863281,807027008,0.0,0.0,,,-1,0
2017-11-21 00:00:00+00:00,367.4429931640625,372.4700012207031,350.6929931640625,360.4010009765625,949912000,0.0,0.0,,,-1,0
2017-11-22 00:00:00+00:00,360.31201171875,381.4200134277344,360.1470031738281,380.6520080566406,800819008,0.0,0.0,,,-1,0
2017-11-23 00:00:00+00:00,381.4389953613281,425.5480041503906,376.0880126953125,410.1659851074219,1845680000,0.0,0.0,,,-1,0
2017-11-24 00:00:00+00:00,412.5010070800781,480.9729919433594,402.75799560546875,474.9110107421875,2292829952,0.0,0.0,,,-1,0
2017-11-25 00:00:00+00:00,475.6759948730469,485.1919860839844,461.0530090332031,466.2760009765625,1422080000,0.0,0.0,,,-1,0
2017-11-26 00:00:00+00:00,465.9739990234375,472.7229919433594,451.6059875488281,471.3299865722656,1197779968,0.0,0.0,,,-1,0
2017-11-27 00:00:00+00:00,471.531005859375,493.4049987792969,468.4849853515625,480.3550109863281,1396480000,0.0,0.0,,,-1,0
2017-11-28 00:00:00+00:00,480.51800537109375,482.4800109863281,466.34698486328125,472.9020080566406,1346499968,0.0,0.0,373.9734512329102,,-1,0
2017-11-29 00:00:00+00:00,473.281005859375,522.3070068359375,425.0710144042969,427.52301025390625,2675940096,0.0,0.0,379.30540161132814,,-1,0
2017-11-30 00:00:00+00:00,431.2149963378906,465.49700927734375,401.2430114746094,447.114013671875,1903040000,0.0,0.0,386.6984527587891,,-1,0
2017-12-01 00:00:00+00:00,445.2090148925781,472.6090087890625,428.31201171875,466.5400085449219,1247879936,0.0,0.0,394.29140319824216,,-1,0
2017-12-02 00:00:00+00:00,466.85101318359375,476.239013671875,456.65301513671875,463.4490051269531,943649984,0.0,0.0,402.0684539794922,,-1,0
2017-12-03 00:00:00+00:00,463.7049865722656,482.8139953613281,451.85198974609375,465.8529968261719,990556992,0.0,0.0,409.52530364990236,,-1,0
2017-12-04 00:00:00+00:00,466.0539855957031,474.7770080566406,453.31201171875,470.2040100097656,1005550016,0.0,0.0,416.1539535522461,,-1,0
2017-12-05 00:00:00+00:00,470.29400634765625,473.5580139160156,457.6600036621094,463.281005859375,1216720000,0.0,0.0,422.65015411376953,,-1,0
